"OBJECTID","Reference","Sampling_Date","Gear","ExDate","Bluefish","Common.Snook","Mullets","Pinfish","Red.Drum","Sand.Seatrout"
2715877,"TBM2013110705","2013-11-05 19:00:00",160,"2018-04-12 07:01:26",0,0,0,0,1,0
2715997,"TBM2013121003","2013-12-04 19:00:00",20,"2018-04-12 07:01:26",0,0,0,0,2,0
2716021,"TBM2013110702","2013-11-05 19:00:00",160,"2018-04-12 07:06:10",0,0,0,39,0,0
2716022,"TBM2013110703","2013-11-05 19:00:00",160,"2018-04-12 07:06:10",0,0,0,286,0,0
2716103,"TBM2013120306","2013-12-09 19:00:00",20,"2018-04-12 07:06:10",0,0,0,0,22,0
2716199,"TBM2014010508","2014-01-16 19:00:00",160,"2018-04-12 07:06:10",0,0,0,0,1,0
2716203,"TBM2014010706","2014-01-16 19:00:00",20,"2018-04-12 07:06:10",0,0,0,118,0,0
2716294,"TBM2013110608","2013-11-05 19:00:00",20,"2018-04-12 07:01:47",0,0,0,0,4,0
2716295,"TBM2013110701","2013-11-05 19:00:00",160,"2018-04-12 07:01:47",0,0,0,113,0,0
2716298,"TBM2013110703","2013-11-05 19:00:00",160,"2018-04-12 07:01:47",0,1,0,0,0,0
2716462,"TBM2013110602","2013-11-05 19:00:00",20,"2018-04-12 07:01:30",0,0,0,1,0,0
2716463,"TBM2013110603","2013-11-05 19:00:00",300,"2018-04-12 07:01:30",0,0,0,0,1,0
2716552,"TBM2013120203","2013-12-02 19:00:00",160,"2018-04-12 07:01:54",0,0,0,2,0,0
2716626,"TBM2013101202","2013-10-15 20:00:00",160,"2018-04-12 07:01:27",0,0,0,0,6,0
2716689,"TBM2013110606","2013-11-05 19:00:00",20,"2018-04-12 07:01:27",0,0,0,0,2,0
2716692,"TBM2013110701","2013-11-05 19:00:00",160,"2018-04-12 07:01:27",0,11,0,0,0,0
2716817,"TBM2013100402","2013-10-02 20:00:00",300,"2018-04-12 07:01:23",0,0,0,0,0,2
2716932,"TBM2013110605","2013-11-05 19:00:00",20,"2018-04-12 07:01:33",0,0,0,0,15,0
2716938,"TBM2013110703","2013-11-05 19:00:00",160,"2018-04-12 07:01:33",0,0,0,0,1,0
2716940,"TBM2013110704","2013-11-05 19:00:00",20,"2018-04-12 07:01:33",0,0,0,0,40,0
2716941,"TBM2013110705","2013-11-05 19:00:00",160,"2018-04-12 07:01:33",0,0,0,0,0,5
2717053,"TBM2013110604","2013-11-05 19:00:00",300,"2018-04-12 07:01:23",0,0,0,0,15,0
2717064,"TBM2013110705","2013-11-05 19:00:00",160,"2018-04-12 07:01:23",0,68,0,0,0,0
2717320,"TBM2014020405","2014-02-10 19:00:00",160,"2018-04-12 07:01:57",0,4,0,0,0,0
2717322,"TBM2014020405","2014-02-10 19:00:00",160,"2018-04-12 07:01:57",0,0,0,0,3,0
2717446,"TBM2013101202","2013-10-15 20:00:00",160,"2018-04-12 07:01:29",0,1,0,0,0,0
2717509,"TBM2013110706","2013-11-05 19:00:00",160,"2018-04-12 07:01:29",0,0,0,1,0,0
2717775,"TBM2014031205","2014-03-04 19:00:00",20,"2018-04-12 07:06:32",0,0,0,257,0,0
2717842,"TBM2014031302","2014-03-23 20:00:00",20,"2018-04-12 07:01:57",0,0,0,3,0,0
2717928,"TBM2014040902","2014-04-02 20:00:00",160,"2018-04-12 07:03:37",0,0,0,0,2,0
2718004,"TBM2014050907","2014-05-07 20:00:00",300,"2018-04-12 07:03:39",0,0,0,9,0,0
2718153,"TBM2014020305","2014-02-05 19:00:00",160,"2018-04-12 07:01:31",0,0,0,0,5,0
2718374,"TBM2014061306","2014-06-11 20:00:00",160,"2018-04-12 07:03:40",0,0,0,12,0,0
2718477,"TBM2013090902","2013-09-17 20:00:00",300,"2018-04-12 07:01:20",0,0,0,1,0,0
2718564,"TBM2013100403","2013-10-02 20:00:00",300,"2018-04-12 07:01:20",0,0,0,0,0,3
2718617,"TBM2013101202","2013-10-15 20:00:00",160,"2018-04-12 07:01:25",0,0,0,2,0,0
2718838,"TBM2014051302","2014-05-12 20:00:00",20,"2018-04-12 07:01:59",0,0,0,3,0,0
2718894,"TBM2014071201","2014-07-16 20:00:00",160,"2018-04-12 07:03:52",0,0,0,1,0,0
2719600,"TBM2014091406","2014-09-04 20:00:00",160,"2018-04-12 07:04:01",0,0,0,53,0,0
