OBJECTID,Reference,Sampling_Date,Latitude,Longitude,Gear,ExDate,Bluefish,Common Snook,Mullets,Pinfish,Red Drum,Sand Seatrout
2645218,TBM2009090701,2009-09-03T00:00:00Z,27.876733,-82.595166,20,2018-04-12T10:46:17Z,0,0,0,28,0,0
2645221,TBM2009090703,2009-09-03T00:00:00Z,27.83465,-82.5889,160,2018-04-12T10:46:17Z,0,0,0,0,1,0
2645420,TBD2011110204,2011-11-17T00:00:00Z,27.981283,-82.605066,251,2018-04-12T10:50:59Z,0,0,0,0,1,0
2645453,TBM2009090706,2009-09-03T00:00:00Z,27.845416,-82.549783,20,2018-04-12T10:45:11Z,0,0,0,5,0,0
2645454,TBM2009090707,2009-09-03T00:00:00Z,27.848766,-82.554666,20,2018-04-12T10:45:11Z,0,0,0,5,0,0
2645538,TBM2009100103,2009-10-01T00:00:00Z,27.91585,-82.681433,160,2018-04-12T10:45:17Z,0,6,0,0,0,0
2645645,TBD2002120103,2002-12-11T00:00:00Z,27.8785,-82.611917,251,2018-04-12T10:50:00Z,0,0,0,0,3,0
2645695,TBD2004110202,2004-11-23T00:00:00Z,27.826767,-82.5911,251,2018-04-12T10:50:28Z,0,0,0,0,2,0
2645750,TBD2006090201,2006-09-22T00:00:00Z,27.979517,-82.6039,251,2018-04-12T10:51:55Z,0,0,0,0,5,0
2645913,TBM2009110807,2009-11-16T00:00:00Z,27.8642,-82.54155,160,2018-04-12T10:45:18Z,0,0,0,77,0,0
2645925,TBM2009111102,2009-11-16T00:00:00Z,27.982633,-82.616683,20,2018-04-12T10:45:18Z,0,0,0,0,7,0
2646013,TBM2009120703,2009-12-03T00:00:00Z,28.023633,-82.68255,300,2018-04-12T10:46:20Z,0,0,0,0,0,41
2646049,TBD2011100206,2011-10-13T00:00:00Z,27.99715,-82.628133,251,2018-04-12T10:51:55Z,0,0,0,0,2,0
2646122,TBM2009101102,2009-10-06T00:00:00Z,27.9466,-82.57225,300,2018-04-12T10:49:13Z,0,0,0,0,0,7
2646126,TBM2009101105,2009-10-06T00:00:00Z,27.91995,-82.65355,20,2018-04-12T10:49:13Z,0,0,0,0,0,3
2646388,TBD2011080206,2011-08-16T00:00:00Z,27.980333,-82.6099,251,2018-04-12T10:50:52Z,0,0,0,3,0,0
2646422,TBM2009091002,2009-09-03T00:00:00Z,27.975666,-82.632083,300,2018-04-12T10:45:10Z,0,0,0,29,0,0
2646425,TBM2009091003,2009-09-03T00:00:00Z,27.963366,-82.68355,20,2018-04-12T10:45:10Z,0,0,0,14,0,0
2646600,TBD2011100205,2011-10-13T00:00:00Z,27.99575,-82.630333,251,2018-04-12T10:51:05Z,0,0,0,0,3,0
2646665,TBM2009090106,2009-09-01T00:00:00Z,27.957216,-82.713366,160,2018-04-12T10:45:06Z,0,1,0,0,0,0
2646783,TBM2009100101,2009-10-01T00:00:00Z,27.956033,-82.71745,20,2018-04-12T10:45:25Z,0,0,0,0,0,5
2646784,TBM2009100102,2009-10-01T00:00:00Z,27.931583,-82.6928,160,2018-04-12T10:45:25Z,2,0,0,0,0,0
2646786,TBM2009100103,2009-10-01T00:00:00Z,27.91585,-82.681433,160,2018-04-12T10:45:25Z,0,0,0,0,8,0
2646899,TBD2001090202,2001-09-26T00:00:00Z,27.980467,-82.603367,251,2018-04-12T10:46:13Z,0,0,0,0,1,0
2646924,TBD2002090202,2002-09-18T00:00:00Z,27.985017,-82.61125,251,2018-04-12T10:46:16Z,0,0,0,0,2,0
2647046,TBD2007090205,2007-09-18T00:00:00Z,27.976633,-82.5912,251,2018-04-12T10:47:44Z,0,0,0,0,1,0
2647179,TBM2009110807,2009-11-16T00:00:00Z,27.8642,-82.54155,160,2018-04-12T10:46:23Z,0,5,0,0,0,0
2647188,TBM2009111006,2009-11-12T00:00:00Z,27.906166,-82.65045,20,2018-04-12T10:46:23Z,0,0,0,0,29,0
2647299,TBD2002120304,2002-12-19T00:00:00Z,28.007817,-82.6394,251,2018-04-12T10:46:15Z,0,0,0,0,1,0
2647735,TBD2000092702,2000-09-27T00:00:00Z,28.022833,-82.686667,251,2018-04-12T10:46:11Z,0,2,0,0,0,0
2647738,TBD2000102403,2000-10-24T00:00:00Z,27.989333,-82.617167,251,2018-04-12T10:46:11Z,0,1,0,0,0,0
